"ID";"Date";"Price";"Amount"
5087;2013-07-23;720;1
8158;2013-07-23;760;1
8158;2013-07-23;480;1
8158;2013-07-23;700;1
8158;2013-07-23;800;1
4592;2013-07-23;480;1
4592;2013-07-23;800;1
7029;2013-07-23;640;1
7029;2013-07-23;620;1
7029;2013-07-23;720;1
16282;2013-07-23;720;1
5056;2013-07-23;640;1
5056;2013-07-23;620;1
5056;2013-07-23;720;1
5057;2013-07-23;640;1
5057;2013-07-23;620;1
5057;2013-07-23;720;1
9759;2013-07-23;760;1
9763;2013-07-23;760;1
8216;2013-07-23;480;1
8215;2013-07-23;480;1
4531;2013-07-23;920;1
4531;2013-07-23;960;1
4530;2013-07-23;760;1
13207;2013-07-23;800;1
16283;2013-07-23;800;1
4504;2013-07-23;760;1
4913;2013-07-23;760;1
16284;2013-07-23;800;1
7324;2013-07-23;800;1
4479;2013-07-23;760;1
6088;2013-07-23;760;1
9589;2013-07-23;480;1
9588;2013-07-23;480;1
7004;2013-07-23;480;1
7003;2013-07-23;480;1
9556;2013-07-23;800;1
9556;2013-07-23;400;1
9555;2013-07-23;800;1
9555;2013-07-23;400;1
8229;2013-07-23;400;1
5201;2013-07-23;940;1
8177;2013-07-23;940;1
5106;2013-07-23;800;1
5107;2013-07-23;800;1
6968;2013-07-23;700;1
5994;2013-07-23;700;1
5174;2013-07-23;700;1
5066;2013-07-23;420;1
5066;2013-07-23;620;1
6969;2013-07-23;760;1
6969;2013-07-23;480;1
9894;2013-07-23;480;1
9894;2013-07-23;700;1
5104;2013-07-23;480;1
6972;2013-07-23;760;1
6972;2013-07-23;480;1
6972;2013-07-23;700;1
6972;2013-07-23;800;1
9601;2013-07-23;760;1
9601;2013-07-23;480;1
16287;2013-07-23;840;1
6945;2013-07-24;700;1
6945;2013-07-24;800;1
6944;2013-07-24;800;1
6944;2013-07-24;700;1
5181;2013-07-24;480;1
4790;2013-07-24;760;1
4790;2013-07-24;700;1
5200;2013-07-24;760;1
5200;2013-07-24;800;1
5200;2013-07-24;400;1
16290;2013-07-24;800;1
8208;2013-07-24;800;1
4683;2013-07-24;400;1
5085;2013-07-24;400;1
4684;2013-07-24;400;1
4682;2013-07-24;400;1
4680;2013-07-24;400;1
16291;2013-07-24;800;1
16292;2013-07-24;980;1
16293;2013-07-24;980;1
11393;2013-07-24;620;1
11393;2013-07-24;720;1
9563;2013-07-24;720;1
9563;2013-07-24;620;1
16295;2013-07-25;1960;1
16295;2013-07-25;1290;1
16295;2013-07-25;1350;1
6992;2013-07-25;920;1
6993;2013-07-25;920;1
5050;2013-07-25;800;1
5049;2013-07-25;800;1
5028;2013-07-25;800;1
8213;2013-07-25;800;1
8214;2013-07-25;800;1
7375;2013-07-25;720;1
11429;2013-07-25;720;1
4911;2013-07-25;640;1
4911;2013-07-25;420;1
16296;2013-07-25;800;1
16297;2013-07-25;800;1
7373;2013-07-25;620;1
7373;2013-07-25;720;1
5048;2013-07-25;640;1
5222;2013-07-25;760;1
6987;2013-07-25;700;1
6987;2013-07-25;800;1
6986;2013-07-25;700;1
6986;2013-07-25;800;1
8166;2013-07-25;760;1
8166;2013-07-25;480;1
8165;2013-07-25;480;1
8165;2013-07-25;760;1
4618;2013-07-25;640;1
4618;2013-07-25;620;1
5198;2013-07-25;620;1
5283;2013-07-25;880;1
13155;2013-07-25;760;1
13156;2013-07-25;760;1
6942;2013-07-25;420;1
6942;2013-07-25;720;1
6943;2013-07-25;720;1
6943;2013-07-25;420;1
4919;2013-07-25;800;1
5186;2013-07-25;800;1
4564;2013-07-25;760;1
